State,State_name,Month,Unemployment_Rate,Date
MD,Maryland,Mar,3.3,Mar-20
MA,Massachusetts,Mar,2.9,Mar-20
MI,Michigan,Mar,4.1,Mar-20
MN,Minnesota,Mar,3.1,Mar-20
MS,Mississippi,Mar,5.3,Mar-20
MO,Missouri,Mar,4.5,Mar-20
MT,Montana,Mar,3.5,Mar-20
NE,Nebraska,Mar,4.2,Mar-20
NV,Nevada,Mar,6.3,Mar-20
NH,New Hampshire,Mar,2.6,Mar-20
NJ,New Jersey,Mar,3.8,Mar-20
NM,New Mexico,Mar,5.9,Mar-20
NY,New York,Mar,4.5,Mar-20
NC,North Carolina,Mar,4.4,Mar-20
ND,North Dakota,Mar,2.2,Mar-20
OH,Ohio,Mar,5.5,Mar-20
OK,Oklahoma,Mar,3.1,Mar-20
OR,Oregon,Mar,3.3,Mar-20
PA,Pennsylvania,Mar,6,Mar-20
RI,Rhode Island,Mar,4.6,Mar-20
SC,South Carolina,Mar,2.6,Mar-20
SD,South Dakota,Mar,3.3,Mar-20
TN,Tennessee,Mar,3.5,Mar-20
TX,Texas,Mar,4.7,Mar-20
UT,Utah,Mar,3.6,Mar-20
VT,Vermont,Mar,3.2,Mar-20
VA,Virginia,Mar,3.3,Mar-20
WA,Washington,Mar,5.1,Mar-20
WV,West Virginia,Mar,6.1,Mar-20
WI,Wisconsin,Mar,3.4,Mar-20
WY,Wyoming,Mar,3.7,Mar-20
,Puerto Rico,Mar,,Mar-20
